13,14,15,18,20,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,21,20,17,14,13,12,12,12,12,12,12,12,12,12,12,12,11,11,11,11,11,11,11,11,11,11,10,10,11,11,11,11,11,11,10,10,10,10,10,10,10,10,11,11,11,12,12,12,12,12,12,12,12,12,12,11,11,11,12,12,12,12,12,12,12,12,12,12,11,11,11,11,11,11,11,11,11,11,11,11
16,17,18,20,21,22,22,23,23,23,23,23,23,23,22,22,22,22,22,22,22,21,19,16,14,13,12,12,12,12,12,12,12,12,12,12,11,11,11,11,11,11,11,11,11,11,10,10,11,11,11,11,11,10,10,10,10,10,10,10,10,10,11,11,11,12,12,12,12,12,12,12,12,12,12,11,11,12,12,12,12,12,11,11,11,12,11,11,11,10,9,8,8,8,9,10,11,11,11,11
20,20,21,22,23,23,23,23,23,23,23,23,23,23,23,23,23,23,22,22,22,22,21,19,16,14,13,12,12,12,12,12,12,12,12,12,11,11,11,11,11,11,11,11,11,11,11,10,11,11,11,10,10,10,10,10,10,10,10,10,10,10,11,11,11,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,11,11,11,11,11,11,11,10,8,0,0,0,0,0,7,8,10,10,10
23,23,23,24,24,24,24,24,24,24,24,24,23,23,23,23,23,23,23,23,22,22,22,21,19,16,14,13,12,12,12,12,12,12,12,12,11,11,11,11,11,11,11,11,11,11,11,11,11,11,10,10,10,10,10,10,10,10,10,10,10,10,11,11,11,11,12,12,12,12,12,12,12,12,12,12,12,12,12,12,11,11,11,11,11,11,11,11,9,0,0,0,0,0,0,0,0,6,7,7
24,24,24,24,24,25,25,25,25,25,25,24,24,24,24,23,23,23,23,23,23,23,22,22,21,19,16,13,12,12,12,12,12,12,12,12,11,11,11,11,11,11,11,11,11,11,11,11,11,11,10,10,10,10,10,10,10,10,10,10,10,10,10,11,11,11,11,12,12,12,12,12,12,12,12,12,12,12,11,11,11,11,11,11,11,11,11,10,8,5,0,0,0,0,0,0,0,0,0,0
24,24,25,25,25,26,26,27,28,28,27,26,25,25,24,24,24,24,24,24,23,23,23,23,22,21,18,15,13,12,12,12,12,12,12,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,10,10,10,10,10,10,10,10,10,10,10,10,10,11,11,11,11,11,11,12,12,12,12,12,12,12,11,11,11,11,11,11,11,10,10,9,8,7,6,0,0,0,5,7,7,5,0,0,0,0
25,25,25,26,27,29,30,32,34,34,32,29,27,26,26,25,25,24,24,24,24,24,23,23,23,22,19,15,13,12,12,12,12,12,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,10,10,10,10,10,10,10,10,10,10,10,10,10,10,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,10,10,10,9,8,7,6,0,0,0,0,0,0,6,9,9,7,0,0,0,0
25,26,27,29,32,34,36,37,38,38,37,35,32,30,30,29,27,26,25,25,24,24,24,23,23,22,20,17,14,12,12,12,12,12,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,11,11,11,11,11,11,11,11,11,11,11,11,10,8,7,7,6,0,0,0,0,0,0,0,0,0,0,8,10,8,0,0,0,0
26,27,31,34,37,39,40,40,40,41,40,39,37,36,36,34,32,30,29,27,26,25,24,24,23,23,21,18,15,13,12,12,12,12,12,11,11,12,12,11,11,11,11,11,11,11,11,11,11,11,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,11,11,11,11,11,11,11,11,11,10,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,10,7,0,0,0,0
27,31,35,38,40,41,41,41,41,41,41,41,41,40,40,39,38,36,34,31,29,27,25,24,24,23,22,20,16,14,12,12,12,12,12,12,12,12,12,12,12,12,12,11,11,11,11,11,11,11,10,10,10,10,10,10,10,10,10,10,10,9,8,7,7,8,9,10,10,10,10,11,11,11,11,11,10,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9,6,0,0,0,0
30,34,38,40,41,41,41,41,41,41,41,42,42,42,42,41,41,40,39,37,34,30,27,25,24,24,23,21,19,16,14,12,12,12,12,12,12,12,12,12,12,12,12,12,11,11,11,11,11,11,10,10,10,10,10,10,10,10,10,10,9,6,0,0,0,0,6,9,10,10,10,10,10,10,10,10,10,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,10,9,0,0,0,0,0
33,37,40,41,42,42,42,42,42,42,42,42,42,42,42,42,42,42,41,40,39,35,30,27,25,24,23,23,21,19,16,14,13,12,12,12,12,12,12,12,12,12,12,12,12,11,11,11,11,11,10,10,10,10,10,10,10,10,10,10,8,0,0,0,0,0,0,6,8,10,10,10,10,10,10,10,10,9,6,0,0,0,0,0,0,0,0,0,0,0,0,0,8,10,8,0,0,0,0,0
35,38,41,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,41,39,34,29,26,24,24,23,22,21,19,17,15,14,13,13,13,12,12,12,12,12,12,12,12,12,11,11,11,11,10,10,10,10,10,10,10,10,10,9,7,0,0,0,0,0,0,0,6,8,9,10,10,10,10,10,10,10,9,6,0,0,0,0,0,0,0,0,0,0,0,6,10,10,8,0,0,0,0,0
33,37,40,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,40,37,31,27,25,24,24,23,23,21,20,19,18,16,15,15,14,13,13,12,12,12,12,12,12,11,11,11,11,10,10,10,10,10,10,10,10,10,9,7,0,0,0,0,0,0,0,0,6,8,9,9,9,10,10,10,10,10,9,7,6,0,0,0,0,0,0,0,0,0,6,9,9,6,0,0,0,0,0
30,34,39,41,42,42,43,43,42,42,42,42,42,42,42,42,42,42,42,42,42,41,39,34,29,25,24,24,24,23,23,22,22,21,20,19,18,16,15,13,13,12,12,12,12,12,11,11,11,11,11,10,10,10,10,10,10,10,10,9,8,5,0,0,0,0,0,0,0,0,7,9,9,9,9,10,10,10,10,10,9,8,6,0,0,0,0,0,0,0,0,0,6,6,0,0,0,0,0,0
28,31,36,40,42,42,42,43,43,42,42,42,42,42,42,42,42,42,42,42,42,41,40,36,30,26,25,24,24,24,23,23,23,23,22,22,21,20,17,15,13,12,12,12,12,12,12,11,11,11,11,11,11,10,10,10,10,10,10,9,8,5,0,0,0,0,0,0,0,0,5,8,9,9,9,10,10,10,10,10,10,10,9,7,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,28,32,38,41,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,41,40,36,30,26,25,25,24,24,24,24,24,23,23,23,22,22,20,17,14,13,13,12,12,12,12,11,11,11,11,11,11,11,10,10,10,10,10,9,7,4,0,0,0,0,0,0,0,0,0,7,9,9,10,10,10,10,10,10,10,10,10,9,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,26,30,37,40,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,41,40,36,30,26,25,25,25,25,24,24,24,24,24,23,23,23,21,19,17,15,14,13,12,12,12,12,11,11,11,11,11,11,10,10,10,10,9,8,6,0,0,0,0,0,0,0,0,0,0,7,9,9,10,10,10,10,10,10,10,10,10,10,9,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,26,30,36,40,42,42,42,42,42,42,42,41,41,41,41,42,42,42,41,41,41,40,37,32,28,26,26,25,25,25,25,25,25,24,24,24,23,22,21,20,18,16,14,13,12,12,12,11,11,11,11,11,11,10,10,10,10,9,8,5,0,0,0,0,0,0,0,0,0,0,7,9,9,10,10,10,10,10,10,11,11,11,11,10,9,7,0,0,0,0,0,0,0,0,0,0,0,0,0
